timestamp,open,high,low,close,volume,taker_buy_vol,taker_sell_vol,num_trades
1773423000000,8.564,8.565,8.493,8.505,50062.49,23824.85,26237.64,2434
1773423900000,8.505,8.51,8.472,8.495,79101.44,47199.28,31902.160000000003,3266
1773424800000,8.495,8.532,8.49,8.528,41802.34,21501.3,20301.039999999997,2569
1773425700000,8.527,8.532,8.474,8.52,39337.47,21633.6,17703.870000000003,2034
1773426600000,8.52,8.542,8.519,8.53,23589.07,14217.98,9371.09,1531
1773427500000,8.53,8.53,8.498,8.503,14779.37,6222.67,8556.7,1221
1773428400000,8.503,8.52,8.482,8.51,58624.39,34477.79,24146.6,2301
1773429300000,8.511,8.521,8.486,8.489,10899.2,6910.2,3989.000000000001,1149
1773430200000,8.49,8.51,8.483,8.499,19532.26,10318.19,9214.069999999998,1324
1773431100000,8.499,8.521,8.494,8.509,19062.24,12149.53,6912.710000000001,1335
1773432000000,8.509,8.516,8.493,8.516,27831.07,8856.05,18975.02,1637
1773432900000,8.516,8.542,8.514,8.521,13932.84,7139.83,6793.01,1085
1773433800000,8.521,8.536,8.518,8.528,14900.74,7664.7,7236.04,1078
1773434700000,8.528,8.541,8.523,8.532,14617.24,7298.95,7318.29,1267
1773435600000,8.532,8.583,8.532,8.559,28479.67,13910.32,14569.349999999999,1711
1773436500000,8.558,8.568,8.522,8.525,15501.13,7324.64,8176.489999999999,1024
1773437400000,8.525,8.535,8.497,8.517,24601.4,12964.8,11636.600000000002,1322
1773438300000,8.516,8.541,8.516,8.52,12475.5,6358.03,6117.47,907
1773439200000,8.52,8.537,8.456,8.477,43883.64,19227.52,24656.12,2763
1773440100000,8.478,8.478,8.426,8.434,29854.98,13016.7,16838.28,1844
1773441000000,8.433,8.442,8.407,8.426,27294.92,12276.19,15018.729999999998,1808
1773441900000,8.425,8.458,8.416,8.456,16928.09,11188.16,5739.93,1162
1773442800000,8.456,8.479,8.448,8.476,21618.39,14568.57,7049.82,1632
1773443700000,8.475,8.491,8.464,8.483,17582.24,9158.38,8423.860000000002,1117
1773444600000,8.481,8.499,8.474,8.492,19538.95,12238.1,7300.85,1152
1773445500000,8.491,8.496,8.473,8.476,14386.4,4955.67,9430.73,868
1773446400000,8.475,8.476,8.445,8.46,32862.53,19013.58,13848.949999999997,1903
1773447300000,8.459,8.488,8.455,8.48,28827.73,15048.71,13779.02,1619
1773448200000,8.481,8.482,8.415,8.417,36087.57,8902.44,27185.129999999997,1893
1773449100000,8.418,8.428,8.393,8.411,102318.25,68970.5,33347.75,2872
1773450000000,8.41,8.426,8.398,8.399,23457.49,8744.28,14713.210000000001,1405
1773450900000,8.4,8.463,8.4,8.455,24942.74,17716.97,7225.77,1303
1773451800000,8.455,8.47,8.411,8.454,39442.95,19850.57,19592.379999999997,2336
1773452700000,8.454,8.472,8.451,8.462,10882.79,5159.03,5723.760000000001,913
1773453600000,8.462,8.462,8.44,8.458,16359.98,7787.83,8572.15,1128
1773454500000,8.459,8.47,8.439,8.449,18657.46,13236.3,5421.16,1027
1773455400000,8.449,8.464,8.442,8.458,11065.52,5477.15,5588.370000000001,842
1773456300000,8.458,8.492,8.456,8.477,19957.56,11162.96,8794.600000000002,1262
1773457200000,8.477,8.486,8.454,8.486,23848.82,14308.68,9540.14,1219
1773458100000,8.487,8.504,8.48,8.49,23922.43,11730.31,12192.12,1310
1773459000000,8.491,8.514,8.473,8.473,51295.88,27645.08,23650.799999999996,3014
1773459900000,8.473,8.478,8.46,8.476,15473.05,6038.59,9434.46,923
1773460800000,8.477,8.505,8.47,8.493,18413.95,9864.4,8549.550000000001,1285
1773461700000,8.493,8.495,8.467,8.475,12711.23,6653.19,6058.04,781
1773462600000,8.474,8.511,8.457,8.491,19548.31,9370.95,10177.36,1229
1773463500000,8.492,8.499,8.432,8.442,38079.2,8813.35,29265.85,1948
1773464400000,8.443,8.454,8.432,8.436,19198.9,9996.37,9202.53,1119
1773465300000,8.436,8.442,8.429,8.431,11125.34,6412.49,4712.85,771
1773466200000,8.432,8.432,8.381,8.393,31810.34,10880.99,20929.35,1580
1773467100000,8.393,8.413,8.392,8.407,15804.79,9013.12,6791.67,936
1773468000000,8.407,8.407,8.382,8.384,21937.79,10412.36,11525.43,1178
1773468900000,8.385,8.385,8.324,8.326,116628.42,55514.63,61113.79,3605
1773469800000,8.326,8.329,8.256,8.285,221094.3,72546.2,148548.09999999998,6586
1773470700000,8.286,8.319,8.283,8.314,46297.58,24644.19,21653.390000000003,2208
1773471600000,8.314,8.317,8.296,8.311,71461.51,20171.74,51289.76999999999,2658
1773472500000,8.311,8.317,8.299,8.309,36077.85,18467.65,17610.199999999997,1572
1773473400000,8.309,8.309,8.272,8.274,41269.62,16991.9,24277.72,1377
1773474300000,8.274,8.296,8.264,8.282,33199.78,15745.19,17454.589999999997,1307
1773475200000,8.281,8.289,8.272,8.286,27719.94,10884.21,16835.73,1251
1773476100000,8.286,8.293,8.278,8.287,19711.67,10891.47,8820.199999999999,1153
1773477000000,8.287,8.29,8.27,8.272,20510.96,10108.5,10402.46,1096
1773477900000,8.272,8.274,8.266,8.272,10690.91,4366.54,6324.37,608
1773478800000,8.271,8.289,8.261,8.281,50606.03,29352.72,21253.309999999998,1766
1773479700000,8.282,8.287,8.272,8.28,39829.56,19219.06,20610.499999999996,1264
1773480600000,8.279,8.28,8.267,8.275,31155.8,8830.72,22325.08,1654
1773481500000,8.275,8.276,8.24,8.256,89089.16,24181.14,64908.020000000004,2335
1773482400000,8.256,8.259,8.244,8.255,27247.84,10761.0,16486.84,1416
1773483300000,8.256,8.256,8.227,8.231,60790.14,31559.93,29230.21,1615
1773484200000,8.231,8.232,8.207,8.217,48386.64,22133.61,26253.03,2032
1773485100000,8.217,8.228,8.213,8.224,15732.48,7812.46,7920.0199999999995,901
1773486000000,8.224,8.247,8.218,8.233,47236.25,22931.77,24304.48,1902
1773486900000,8.233,8.246,8.226,8.245,19722.54,8277.82,11444.720000000001,953
1773487800000,8.245,8.262,8.24,8.256,40607.75,27482.66,13125.09,1419
1773488700000,8.255,8.266,8.249,8.249,17015.44,8823.86,8191.579999999998,988
1773489600000,8.249,8.258,8.236,8.25,62657.27,39507.35,23149.92,2385
1773490500000,8.25,8.252,8.238,8.238,19847.07,3636.5,16210.57,1002
1773491400000,8.238,8.244,8.219,8.223,22766.31,11318.13,11448.180000000002,1122
1773492300000,8.223,8.236,8.222,8.236,19418.32,9676.97,9741.35,1140
1773493200000,8.235,8.235,8.224,8.232,15782.9,8947.12,6835.779999999999,1082
1773494100000,8.232,8.246,8.232,8.239,21585.0,11427.34,10157.66,1124
1773495000000,8.239,8.251,8.236,8.244,15201.46,7327.09,7874.369999999999,1071
1773495900000,8.243,8.249,8.23,8.245,25636.42,14281.94,11354.479999999998,1293
1773496800000,8.245,8.258,8.241,8.248,26825.14,10950.97,15874.17,1656
1773497700000,8.247,8.255,8.239,8.251,16842.95,10227.59,6615.360000000001,1046
1773498600000,8.251,8.253,8.215,8.216,22536.17,9671.58,12864.589999999998,1375
1773499500000,8.217,8.227,8.215,8.218,13557.38,7312.23,6245.15,985
1773500400000,8.218,8.225,8.202,8.209,30098.25,11202.42,18895.83,1916
1773501300000,8.209,8.214,8.194,8.21,32302.85,13512.43,18790.42,1791
1773502200000,8.209,8.214,8.194,8.213,15477.73,6171.44,9306.29,1459
1773503100000,8.213,8.233,8.208,8.22,16156.28,4937.89,11218.39,1330
1773504000000,8.219,8.219,8.203,8.215,14698.5,8432.01,6266.49,1198
1773504900000,8.214,8.236,8.214,8.231,11573.14,5089.25,6483.889999999999,1065
1773505800000,8.232,8.239,8.229,8.232,14040.85,5309.31,8731.54,997
1773506700000,8.233,8.245,8.227,8.244,16602.3,9722.04,6880.259999999998,1089
1773507600000,8.243,8.243,8.228,8.235,25580.87,10921.42,14659.449999999999,1401
1773508500000,8.235,8.237,8.225,8.232,7291.32,2212.12,5079.2,717
1773509400000,8.233,8.233,8.22,8.223,13405.32,5700.59,7704.73,807
1773510300000,8.224,8.224,8.206,8.216,16077.37,4128.0,11949.37,973
1773511200000,8.216,8.216,8.202,8.206,15518.08,6021.74,9496.34,1167
1773512100000,8.205,8.215,8.196,8.212,15832.01,9154.06,6677.950000000001,1138
1773513000000,8.212,8.232,8.21,8.227,13404.47,5015.35,8389.119999999999,981
1773513900000,8.226,8.229,8.217,8.219,9479.14,4467.31,5011.829999999999,724
1773514800000,8.218,8.22,8.205,8.218,11932.94,5570.04,6362.900000000001,976
1773515700000,8.218,8.22,8.204,8.207,7009.31,2775.04,4234.27,633
1773516600000,8.208,8.216,8.204,8.215,14865.33,6466.65,8398.68,837
1773517500000,8.216,8.218,8.203,8.204,9307.85,4355.72,4952.13,664
1773518400000,8.205,8.207,8.184,8.193,35666.49,12920.34,22746.149999999998,1773
1773519300000,8.193,8.201,8.187,8.197,14991.61,10322.86,4668.75,901
1773520200000,8.197,8.212,8.197,8.211,19128.51,8100.07,11028.439999999999,957
1773521100000,8.211,8.217,8.203,8.206,13279.83,5589.17,7690.66,858
1773522000000,8.206,8.206,8.183,8.187,32565.0,11909.92,20655.08,1405
1773522900000,8.187,8.201,8.183,8.184,18291.09,10544.12,7746.969999999999,906
1773523800000,8.184,8.21,8.182,8.207,16984.21,10499.6,6484.609999999999,934
1773524700000,8.207,8.226,8.205,8.226,19357.92,11314.79,8043.129999999997,1102
1773525600000,8.226,8.231,8.214,8.214,21570.5,11721.36,9849.14,1828
1773526500000,8.214,8.218,8.203,8.21,16366.77,6526.39,9840.380000000001,879
1773527400000,8.21,8.222,8.206,8.221,9657.34,5165.56,4491.78,667
1773528300000,8.221,8.222,8.205,8.206,8077.26,1916.21,6161.05,602
1773529200000,8.206,8.249,8.199,8.236,46747.52,25489.52,21257.999999999996,2289
